time flux flux_err timecorr cadenceno centroid_col centroid_row sap_flux sap_flux_err sap_bkg sap_bkg_err pdcsap_flux pdcsap_flux_err quality psf_centr1 psf_centr1_err psf_centr2 psf_centr2_err mom_centr1 mom_centr1_err mom_centr2 mom_centr2_err pos_corr1 pos_corr2
1791.3709456976724 1.0007757e+00 1.2725749e-03 1.8069416e-03 406018 1569.24340 1320.75901 9.2537969e+03 1.1578198e+01 1.2097766e+03 3.5736854e+00 1.0355496e+04 1.3167931e+01 0 "" "" "" "" 1569.24340 9.2577300e-04 1320.75901 9.8406186e-04 -1.0895256e-01 -2.3004793e-01
1791.3723346018076 1.0030736e+00 1.2734219e-03 1.8069574e-03 406019 1569.23192 1320.75269 9.2827461e+03 1.1590292e+01 1.2078241e+03 3.5805650e+00 1.0383204e+04 1.3181685e+01 0 "" "" "" "" 1569.23192 9.2616346e-04 1320.75269 9.7759650e-04 -1.2486139e-01 -2.4183427e-01
1791.3751124100788 1.0052691e+00 1.2728595e-03 1.8069891e-03 406021 1569.23125 1320.75207 9.2824756e+03 1.1585810e+01 1.2012537e+03 3.5750906e+00 1.0406502e+04 1.3176587e+01 0 "" "" "" "" 1569.23125 9.2923106e-04 1320.75207 9.7689510e-04 -1.2758471e-01 -2.3920140e-01
1791.3765013142136 1.0013726e+00 1.2727814e-03 1.8070049e-03 406022 1569.23761 1320.75773 9.2728105e+03 1.1585773e+01 1.2084550e+03 3.5891826e+00 1.0366770e+04 1.3176546e+01 0 "" "" "" "" 1569.23761 9.2441298e-04 1320.75773 9.8006241e-04 -1.1470886e-01 -2.3114422e-01
1791.3778902183487 1.0035602e+00 1.2740857e-03 1.8070207e-03 406023 1569.23424 1320.75604 9.2948242e+03 1.1597743e+01 1.2061356e+03 3.5943968e+00 1.0389504e+04 1.3190160e+01 0 "" "" "" "" 1569.23424 9.2074909e-04 1320.75604 9.7686460e-04 -1.1982662e-01 -2.3483698e-01
1791.3792791224844 1.0003622e+00 1.2721403e-03 1.8070366e-03 406024 1569.23548 1320.75178 9.2550752e+03 1.1580378e+01 1.2124082e+03 3.5935290e+00 1.0356702e+04 1.3170409e+01 0 "" "" "" "" 1569.23548 9.2716434e-04 1320.75178 9.8308385e-04 -1.1866694e-01 -2.4278079e-01
1791.3806680265043 1.0015099e+00 1.2717298e-03 1.8070523e-03 406025 1569.22792 1320.73855 9.2571875e+03 1.1578527e+01 1.2166108e+03 3.5893264e+00 1.0370276e+04 1.3168305e+01 0 "" "" "" "" 1569.22792 9.2698500e-04 1320.73855 9.8126894e-04 -1.2776244e-01 -2.5856671e-01
1791.3820569306401 1.0035564e+00 1.2730033e-03 1.8070681e-03 406026 1569.22727 1320.75260 9.3118086e+03 1.1590610e+01 1.2068455e+03 3.5723104e+00 1.0391902e+04 1.3182046e+01 0 "" "" "" "" 1569.22727 9.1981632e-04 1320.75260 9.7308168e-04 -1.2795797e-01 -2.4086185e-01
1791.3834458347749 1.0018474e+00 1.2714642e-03 1.8070840e-03 406027 1569.23544 1320.75671 9.2862529e+03 1.1577065e+01 1.2042534e+03 3.5759811e+00 1.0374626e+04 1.3166641e+01 0 "" "" "" "" 1569.23544 9.2055369e-04 1320.75671 9.7743864e-04 -1.1699592e-01 -2.3290032e-01
1791.38483473891 1.0023468e+00 1.2709817e-03 1.8070998e-03 406028 1569.22397 1320.74335 9.2786240e+03 1.1572673e+01 1.2058267e+03 3.5765321e+00 1.0379799e+04 1.3161647e+01 0 "" "" "" "" 1569.22397 9.2140614e-04 1320.74335 9.7992306e-04 -1.3224229e-01 -2.5204360e-01
