time flux flux_err timecorr cadenceno centroid_col centroid_row sap_flux sap_flux_err sap_bkg sap_bkg_err pdcsap_flux pdcsap_flux_err quality psf_centr1 psf_centr1_err psf_centr2 psf_centr2_err mom_centr1 mom_centr1_err mom_centr2 mom_centr2_err pos_corr1 pos_corr2
2896.976076270128 9.9369186e-01 1.4663219e-03 1.8760567e-03 1202054 1296.51157 1558.11698 9.3299980e+03 1.3459990e+01 3.1158584e+03 5.9053397e+00 1.0021658e+04 1.4788263e+01 0 "" "" "" "" 1296.51157 1.2386806e-03 1558.11698 1.2228225e-03 -2.0216843e-02 -5.1357457e-04
2896.977465163723 9.9384165e-01 1.4663207e-03 1.8760620e-03 1202055 1296.51285 1558.11748 9.3326709e+03 1.3459978e+01 3.1160596e+03 5.9133015e+00 1.0023169e+04 1.4788251e+01 0 "" "" "" "" 1296.51285 1.2364507e-03 1558.11748 1.2204355e-03 -1.8746458e-02 -1.8957277e-03
2896.9788540572 9.9508578e-01 1.4662604e-03 1.8760673e-03 1202056 1296.51129 1558.11756 9.3434023e+03 1.3459426e+01 3.1075491e+03 5.9050093e+00 1.0035716e+04 1.4787643e+01 0 "" "" "" "" 1296.51129 1.2357961e-03 1558.11756 1.2190796e-03 -2.0556318e-02 -1.3330146e-03
2896.980242950793 9.9372691e-01 1.4653003e-03 1.8760726e-03 1202057 1296.51422 1558.11836 9.3311963e+03 1.3450614e+01 3.1144104e+03 5.9028568e+00 1.0022012e+04 1.4777961e+01 0 "" "" "" "" 1296.51422 1.2359197e-03 1558.11836 1.2190396e-03 -1.5541554e-02 -4.9369484e-03
2896.981631844388 "" 1.4655250e-03 1.8760780e-03 1202058 1296.51119 1558.11849 9.3524414e+03 1.3452674e+01 3.1007517e+03 5.8956690e+00 1.0043440e+04 1.4780226e+01 0 "" "" "" "" 1296.51119 1.2356183e-03 1558.11849 1.2195902e-03 -2.1054130e-02 -4.3708767e-04
2896.983020737983 9.9382162e-01 1.4649635e-03 1.8760833e-03 1202059 1296.51079 1558.11840 9.3316904e+03 1.3447520e+01 3.1061743e+03 5.8983464e+00 1.0022967e+04 1.4774564e+01 0 "" "" "" "" 1296.51079 1.2366767e-03 1558.11840 1.2209733e-03 -2.1170571e-02 -2.5311683e-03
2896.984409631577 9.9551356e-01 1.4643158e-03 1.8760887e-03 1202060 1296.51322 1558.11697 9.3476416e+03 1.3441575e+01 3.0905166e+03 5.8818922e+00 1.0040030e+04 1.4768031e+01 0 "" "" "" "" 1296.51322 1.2338201e-03 1558.11697 1.2174743e-03 -1.7183974e-02 -1.8389119e-03
2896.9857985251715 "" 1.4654646e-03 1.8760940e-03 1202061 1296.51431 1558.11961 9.3684053e+03 1.3452120e+01 3.0849541e+03 5.8831501e+00 1.0062431e+04 1.4779617e+01 0 "" "" "" "" 1296.51431 1.2312776e-03 1558.11961 1.2161426e-03 -1.8596236e-02 -2.9852795e-03
2896.987187418765 9.9207455e-01 1.4639811e-03 1.8760994e-03 1202062 1296.51049 1558.11722 9.3175088e+03 1.3438501e+01 3.1006199e+03 5.8955736e+00 1.0005347e+04 1.4764655e+01 0 "" "" "" "" 1296.51049 1.2381866e-03 1558.11722 1.2210233e-03 -2.0834297e-02 -1.2340564e-03
2896.9885763123602 9.9356270e-01 1.4641586e-03 1.8761047e-03 1202063 1296.51111 1558.11494 9.3284033e+03 1.3440133e+01 3.0961182e+03 5.8911610e+00 1.0020355e+04 1.4766446e+01 0 "" "" "" "" 1296.51111 1.2356582e-03 1558.11494 1.2187822e-03 -2.1453734e-02 -2.9486786e-03
2896.9899652059553 9.9380207e-01 1.4639818e-03 1.8761101e-03 1202064 1296.51084 1558.11851 9.3315127e+03 1.3438509e+01 3.0936895e+03 5.8930984e+00 1.0022770e+04 1.4764663e+01 0 "" "" "" "" 1296.51084 1.2352332e-03 1558.11851 1.2194710e-03 -1.9858325e-02 -2.5498588e-03
2896.991354099549 9.9411273e-01 1.4634416e-03 1.8761154e-03 1202065 1296.51266 1558.11818 9.3349932e+03 1.3433552e+01 3.0903645e+03 5.8819804e+00 1.0025902e+04 1.4759215e+01 0 "" "" "" "" 1296.51266 1.2354477e-03 1558.11818 1.2178913e-03 -1.8625561e-02 -3.2258984e-05
2896.9927429931427 9.9352580e-01 1.4637740e-03 1.8761208e-03 1202066 1296.50577 1558.11692 9.3283848e+03 1.3436601e+01 3.0954026e+03 5.8881040e+00 1.0019983e+04 1.4762567e+01 0 "" "" "" "" 1296.50577 1.2346444e-03 1558.11692 1.2205984e-03 -2.4178075e-02 -2.3496817e-03
2896.9941318867363 9.9525231e-01 1.4635545e-03 1.8761262e-03 1202067 1296.51595 1558.11808 9.3448018e+03 1.3434587e+01 3.0810686e+03 5.8802571e+00 1.0037396e+04 1.4760353e+01 0 "" "" "" "" 1296.51595 1.2328756e-03 1558.11808 1.2169430e-03 -1.4047396e-02 -2.3415224e-03
2896.995520780331 9.9329710e-01 1.4635847e-03 1.8761315e-03 1202068 1296.50768 1558.11601 9.3256514e+03 1.3434864e+01 3.0813113e+03 5.8906670e+00 1.0017677e+04 1.4760657e+01 0 "" "" "" "" 1296.50768 1.2355695e-03 1558.11601 1.2196171e-03 -2.3449289e-02 -3.1470302e-03
2896.9969096739255 9.9454033e-01 1.4627433e-03 1.8761369e-03 1202069 1296.51129 1558.11938 9.3388105e+03 1.3427139e+01 3.0705261e+03 5.8786263e+00 1.0030215e+04 1.4752172e+01 0 "" "" "" "" 1296.51129 1.2335050e-03 1558.11938 1.2173452e-03 -2.1467531e-02 -5.2842608e-04
2896.99829856752 9.9286038e-01 1.4637827e-03 1.8761422e-03 1202070 1296.50975 1558.11884 9.3233857e+03 1.3436682e+01 3.0804116e+03 5.8882499e+00 1.0013272e+04 1.4762655e+01 0 "" "" "" "" 1296.50975 1.2356866e-03 1558.11884 1.2209603e-03 -2.1004591e-02 -1.0698963e-03
2896.999687461114 9.9371946e-01 1.4634386e-03 1.8761476e-03 1202071 1296.51363 1558.11998 9.3305039e+03 1.3433523e+01 3.0832996e+03 5.8881431e+00 1.0021937e+04 1.4759185e+01 0 "" "" "" "" 1296.51363 1.2368242e-03 1558.11998 1.2193552e-03 -1.6738849e-02 -2.0460554e-03
2897.0010763547084 9.9564570e-01 1.4633600e-03 1.8761529e-03 1202072 1296.51064 1558.12043 9.3487100e+03 1.3432801e+01 3.0728457e+03 5.8794107e+00 1.0041363e+04 1.4758392e+01 0 "" "" "" "" 1296.51064 1.2327818e-03 1558.12043 1.2162381e-03 -2.0875908e-02 -1.7458906e-03
2897.0024652484194 9.9342674e-01 1.4611419e-03 1.8761584e-03 1202073 1296.51317 1558.11620 9.3278916e+03 1.3412441e+01 3.0654221e+03 5.8673353e+00 1.0018984e+04 1.4736021e+01 0 "" "" "" "" 1296.51317 1.2331551e-03 1558.11620 1.2183748e-03 -1.8177738e-02 -1.7360338e-03
2897.003854142014 "" 1.4628894e-03 1.8761638e-03 1202074 1296.51500 1558.11864 9.3626982e+03 1.3428480e+01 3.0636309e+03 5.8690839e+00 1.0058050e+04 1.4753645e+01 0 "" "" "" "" 1296.51500 1.2311701e-03 1558.11864 1.2132728e-03 -1.8064314e-02 -1.9353378e-03
2897.0052430356077 9.9538100e-01 1.4631281e-03 1.8761691e-03 1202075 1296.51081 1558.11779 9.3446748e+03 1.3430673e+01 3.0666470e+03 5.8772616e+00 1.0038693e+04 1.4756053e+01 0 "" "" "" "" 1296.51081 1.2331649e-03 1558.11779 1.2151845e-03 -1.9175977e-02 -5.8799598e-04
2897.0066319292014 9.9473184e-01 1.4619159e-03 1.8761745e-03 1202076 1296.51179 1558.11657 9.3400000e+03 1.3419546e+01 3.0601157e+03 5.8687520e+00 1.0032146e+04 1.4743828e+01 0 "" "" "" "" 1296.51179 1.2323509e-03 1558.11657 1.2167534e-03 -1.9115904e-02 -1.8174971e-03
2897.008020822795 9.9283350e-01 1.4616273e-03 1.8761798e-03 1202077 1296.51523 1558.11954 9.3246865e+03 1.3416895e+01 3.0712751e+03 5.8728833e+00 1.0013001e+04 1.4740916e+01 0 "" "" "" "" 1296.51523 1.2342965e-03 1558.11954 1.2179216e-03 -1.8297322e-02 -1.5153245e-03
2897.00940971639 9.9436891e-01 1.4611256e-03 1.8761852e-03 1202078 1296.51301 1558.11992 9.3369912e+03 1.3412290e+01 3.0577910e+03 5.8617549e+00 1.0028486e+04 1.4735856e+01 0 "" "" "" "" 1296.51301 1.2310934e-03 1558.11992 1.2160926e-03 -1.8576948e-02 -9.9031255e-04
