time flux flux_err timecorr cadenceno centroid_col centroid_row sap_flux sap_flux_err sap_bkg sap_bkg_err pdcsap_flux pdcsap_flux_err quality psf_centr1 psf_centr1_err psf_centr2 psf_centr2_err mom_centr1 mom_centr1_err mom_centr2 mom_centr2_err pos_corr1 pos_corr2
2882.3314889897115 1.0037282e+00 1.4465631e-03 1.7263696e-03 1191510 1296.52128 1558.17078 9.3968896e+03 1.3226064e+01 2.7750581e+03 5.6422148e+00 1.0082815e+04 1.4531253e+01 0 "" "" "" "" 1296.52128 1.1988750e-03 1558.17078 1.1903485e-03 -1.0636549e-02 5.9168696e-02
2882.3328778940154 1.0035199e+00 1.4446564e-03 1.7263857e-03 1191511 1296.52737 1558.17674 9.3986328e+03 1.3209063e+01 2.7619075e+03 5.6206188e+00 1.0081053e+04 1.4512574e+01 0 "" "" "" "" 1296.52737 1.1957135e-03 1558.17674 1.1877648e-03 -5.2644131e-03 6.4928725e-02
2882.3342667983193 1.0036258e+00 1.4461431e-03 1.7264017e-03 1191512 1296.52470 1558.17899 9.4002627e+03 1.3224152e+01 2.7696709e+03 5.6282706e+00 1.0083255e+04 1.4529152e+01 0 "" "" "" "" 1296.52470 1.1969435e-03 1558.17899 1.1902424e-03 -5.8200276e-03 6.8441264e-02
2882.3356557027396 1.0016459e+00 1.4436602e-03 1.7264179e-03 1191513 1296.52206 1558.17652 9.3799824e+03 1.3202027e+01 2.7622542e+03 5.6215873e+00 1.0063807e+04 1.4504845e+01 0 "" "" "" "" 1296.52206 1.1989881e-03 1558.17652 1.1918920e-03 -1.0599398e-02 6.6424794e-02
2882.3370446070444 1.0030768e+00 1.4437868e-03 1.7264340e-03 1191514 1296.52998 1558.18221 9.3970908e+03 1.3204908e+01 2.7587256e+03 5.6166434e+00 1.0079499e+04 1.4508009e+01 0 "" "" "" "" 1296.52998 1.1969657e-03 1558.18221 1.1869818e-03 -4.6366635e-03 7.0059150e-02
2882.338433511349 1.0014001e+00 1.4428874e-03 1.7264500e-03 1191515 1296.52242 1558.17344 9.3809512e+03 1.3196682e+01 2.7522947e+03 5.6107702e+00 1.0062650e+04 1.4498971e+01 0 "" "" "" "" 1296.52242 1.1981837e-03 1558.17344 1.1893610e-03 -9.8181842e-03 6.1838638e-02
2882.339822415654 1.0033835e+00 1.4424042e-03 1.7264661e-03 1191516 1296.52922 1558.18464 9.4015947e+03 1.3192264e+01 2.7364563e+03 5.6004262e+00 1.0082581e+04 1.4494117e+01 0 "" "" "" "" 1296.52922 1.1936773e-03 1558.18464 1.1876795e-03 -5.5554649e-03 7.2659664e-02
2882.3412113200743 1.0021715e+00 1.4427917e-03 1.7264823e-03 1191517 1296.52262 1558.17456 9.3883955e+03 1.3196167e+01 2.7495811e+03 5.6090455e+00 1.0070678e+04 1.4498405e+01 0 "" "" "" "" 1296.52262 1.1948789e-03 1558.17456 1.1880202e-03 -1.0255615e-02 6.3075848e-02
2882.342600224379 1.0033778e+00 1.4423294e-03 1.7264984e-03 1191518 1296.52860 1558.17855 9.4027559e+03 1.3193974e+01 2.7356052e+03 5.6064620e+00 1.0084354e+04 1.4495996e+01 0 "" "" "" "" 1296.52860 1.1923801e-03 1558.17855 1.1872408e-03 -4.9243313e-03 7.0787154e-02
2882.343989128683 1.0035164e+00 1.4423403e-03 1.7265144e-03 1191519 1296.52989 1558.18197 9.4068320e+03 1.3194266e+01 2.7297341e+03 5.5952716e+00 1.0085894e+04 1.4496317e+01 0 "" "" "" "" 1296.52989 1.1940168e-03 1558.18197 1.1872508e-03 -5.1118350e-03 7.1073063e-02
2882.345378032988 1.0049311e+00 1.4428704e-03 1.7265305e-03 1191520 1296.51721 1558.16909 9.4127695e+03 1.3199182e+01 2.7315291e+03 5.6060352e+00 1.0100162e+04 1.4501717e+01 0 "" "" "" "" 1296.51721 1.1928882e-03 1558.16909 1.1835685e-03 -1.6425909e-02 5.7168812e-02
2882.3467669372917 1.0024012e+00 1.4412219e-03 1.7265466e-03 1191521 1296.52853 1558.17605 9.3934600e+03 1.3184872e+01 2.7248740e+03 5.6014771e+00 1.0075325e+04 1.4485995e+01 0 "" "" "" "" 1296.52853 1.1940389e-03 1558.17605 1.1873862e-03 -6.0623540e-03 6.5408431e-02
2882.3481558415965 1.0023416e+00 1.4403509e-03 1.7265626e-03 1191522 1296.52709 1558.18223 9.3943633e+03 1.3179150e+01 2.7281948e+03 5.5914745e+00 1.0076444e+04 1.4479709e+01 0 "" "" "" "" 1296.52709 1.1929572e-03 1558.18223 1.1871833e-03 -6.7130532e-03 7.2121292e-02
2882.349544746017 1.0023270e+00 1.4407978e-03 1.7265788e-03 1191523 1296.52106 1558.17576 9.3933906e+03 1.3184134e+01 2.7191187e+03 5.5988226e+00 1.0076979e+04 1.4485184e+01 0 "" "" "" "" 1296.52106 1.1945079e-03 1558.17576 1.1864445e-03 -1.1584233e-02 6.5061063e-02
2882.3509336503216 1.0039299e+00 1.4399120e-03 1.7265949e-03 1191524 1296.52367 1558.17252 9.4085762e+03 1.3176647e+01 2.7107324e+03 5.5823188e+00 1.0093570e+04 1.4476960e+01 0 "" "" "" "" 1296.52367 1.1931143e-03 1558.17252 1.1840479e-03 -1.0600240e-02 6.1516654e-02
2882.3523225546255 1.0002866e+00 1.4381611e-03 1.7266109e-03 1191525 1296.52590 1558.17660 9.3778945e+03 1.3161306e+01 2.7114341e+03 5.5766158e+00 1.0057460e+04 1.4460105e+01 0 "" "" "" "" 1296.52590 1.1940734e-03 1558.17660 1.1864714e-03 -7.2183837e-03 6.6110842e-02
2882.3537114589303 9.9980062e-01 1.4381502e-03 1.7266270e-03 1191526 1296.52018 1558.17490 9.3718564e+03 1.3161638e+01 2.7050405e+03 5.5821238e+00 1.0052904e+04 1.4460469e+01 0 "" "" "" "" 1296.52018 1.1946359e-03 1558.17490 1.1864416e-03 -1.1863597e-02 6.4268284e-02
