time flux flux_err timecorr cadenceno centroid_col centroid_row sap_flux sap_flux_err sap_bkg sap_bkg_err pdcsap_flux pdcsap_flux_err quality psf_centr1 psf_centr1_err psf_centr2 psf_centr2_err mom_centr1 mom_centr1_err mom_centr2 mom_centr2_err pos_corr1 pos_corr2
3610.5570478082423 9.9824846e-01 1.3006870e-03 1.6877366e-03 1715832 1109.09819 1515.30222 9.1402061e+03 1.1610658e+01 1.2677778e+03 3.6370962e+00 9.9613428e+03 1.2979323e+01 0 "" "" "" "" 1109.09819 9.9782995e-04 1515.30222 1.0077573e-03 1.2022636e-02 5.0177950e-02
3610.5584367139545 9.9630243e-01 1.2997895e-03 1.6877541e-03 1715833 1109.09656 1515.30437 9.1223389e+03 1.1602647e+01 1.2680413e+03 3.6366730e+00 9.9419238e+03 1.2970367e+01 0 "" "" "" "" 1109.09656 9.9892041e-04 1515.30437 1.0096449e-03 8.5237697e-03 5.2649882e-02
3610.5598256196663 9.9755079e-01 1.3008930e-03 1.6877715e-03 1715834 1109.09939 1515.30205 9.1307568e+03 1.1612497e+01 1.2703416e+03 3.6410038e+00 9.9543809e+03 1.2981379e+01 0 "" "" "" "" 1109.09939 9.9921937e-04 1515.30205 1.0087221e-03 1.3406005e-02 5.0989278e-02
3610.5612145253785 9.9809068e-01 1.3008356e-03 1.6877890e-03 1715835 1109.09739 1515.30292 9.1372754e+03 1.1611984e+01 1.2722252e+03 3.6417925e+00 9.9597686e+03 1.2980806e+01 0 "" "" "" "" 1109.09739 9.9604775e-04 1515.30292 1.0071610e-03 1.0657405e-02 5.1195063e-02
3610.5626034310912 9.9508256e-01 1.2991653e-03 1.6878064e-03 1715836 1109.09788 1515.30754 9.1116113e+03 1.1597074e+01 1.2653621e+03 3.6352723e+00 9.9297510e+03 1.2964138e+01 0 "" "" "" "" 1109.09788 9.9837210e-04 1515.30754 1.0097189e-03 1.0755276e-02 5.5563945e-02
3610.563992336803 9.9954414e-01 1.3003591e-03 1.6878239e-03 1715837 1109.09436 1515.30312 9.1449795e+03 1.1607731e+01 1.2648270e+03 3.6319373e+00 9.9742725e+03 1.2976051e+01 0 "" "" "" "" 1109.09436 9.9698186e-04 1515.30312 1.0069979e-03 7.6317261e-03 4.9676966e-02
3610.565381242515 9.9924988e-01 1.3009430e-03 1.6878414e-03 1715838 1109.09686 1515.30148 9.1453896e+03 1.1612943e+01 1.2661857e+03 3.6358759e+00 9.9713359e+03 1.2981877e+01 0 "" "" "" "" 1109.09686 9.9688070e-04 1515.30148 1.0071313e-03 9.9666081e-03 4.9610242e-02
3610.56677014811 9.9520421e-01 1.3005059e-03 1.6878587e-03 1715839 1109.09824 1515.30675 9.1143789e+03 1.1609042e+01 1.2683126e+03 3.6459134e+00 9.9309648e+03 1.2977516e+01 0 "" "" "" "" 1109.09824 9.9944847e-04 1515.30675 1.0100957e-03 1.1134543e-02 5.4238226e-02
3610.568159053822 9.9865234e-01 1.3011892e-03 1.6878762e-03 1715840 1109.09657 1515.30361 9.1389629e+03 1.1615141e+01 1.2712328e+03 3.6435175e+00 9.9653730e+03 1.2984334e+01 0 "" "" "" "" 1109.09657 9.9820760e-04 1515.30361 1.0063091e-03 9.0805134e-03 5.1495463e-02
3610.569547959418 9.9967664e-01 1.3017384e-03 1.6878935e-03 1715841 1109.09745 1515.30351 9.1566914e+03 1.1620045e+01 1.2625690e+03 3.6354704e+00 9.9755947e+03 1.2989816e+01 0 "" "" "" "" 1109.09745 9.9770725e-04 1515.30351 1.0069278e-03 9.6754208e-03 5.1257260e-02
